Arealformålsgruppe,Arealtype,Dekar.sum
13 Forsvaret,Fulldyrka jord,22
13 Forsvaret,Skog,3
13 Forsvaret,Åpen fastmark,1
14 LNFR,Bebygd,7821
14 LNFR,Samferdsel,4278
14 LNFR,Fulldyrka jord,113205
14 LNFR,Overflatedyrka jord,353
14 LNFR,Innmarksbeite,2944
14 LNFR,Skog,143322
14 LNFR,Åpen fastmark,3620
14 LNFR,Myr,2830
14 LNFR,Ferskvann,28
15 LNFR spredt,Bebygd,294
15 LNFR spredt,Samferdsel,184
15 LNFR spredt,Fulldyrka jord,702
15 LNFR spredt,Overflatedyrka jord,13
15 LNFR spredt,Innmarksbeite,198
15 LNFR spredt,Skog,4638
15 LNFR spredt,Åpen fastmark,76
15 LNFR spredt,Myr,1
15 LNFR spredt,Ferskvann,8
16 Havner og småbåthavner,Bebygd,13
16 Havner og småbåthavner,Samferdsel,10
16 Havner og småbåthavner,Åpen fastmark,1
16 Havner og småbåthavner,Hav,261
"17 Sjø og vassdrag, flerbruk",Bebygd,1
"17 Sjø og vassdrag, flerbruk",Samferdsel,3
"17 Sjø og vassdrag, flerbruk",Fulldyrka jord,0
"17 Sjø og vassdrag, flerbruk",Skog,2
"17 Sjø og vassdrag, flerbruk",Åpen fastmark,19
"17 Sjø og vassdrag, flerbruk",Ferskvann,4175
"17 Sjø og vassdrag, flerbruk",Hav,53504
18 Akvakultur,Bebygd,0
18 Akvakultur,Samferdsel,0
18 Akvakultur,Fulldyrka jord,1
18 Akvakultur,Overflatedyrka jord,0
18 Akvakultur,Innmarksbeite,0
18 Akvakultur,Skog,0
18 Akvakultur,Åpen fastmark,1
18 Akvakultur,Ferskvann,0
18 Akvakultur,Hav,2
19 Udefinert,Bebygd,137
19 Udefinert,Samferdsel,51
19 Udefinert,Fulldyrka jord,478
19 Udefinert,Overflatedyrka jord,2
19 Udefinert,Innmarksbeite,3
19 Udefinert,Skog,189
19 Udefinert,Åpen fastmark,58
19 Udefinert,Myr,4
19 Udefinert,Ferskvann,5
19 Udefinert,Hav,14
