Arealformålsgruppe,Arealtype,Dekar.sum
12 Blå/grønnstruktur,Innmarksbeite,156
12 Blå/grønnstruktur,Skog,26247
12 Blå/grønnstruktur,Åpen fastmark,6561
12 Blå/grønnstruktur,Myr,449
12 Blå/grønnstruktur,Ferskvann,140
12 Blå/grønnstruktur,Hav,169
13 Forsvaret,Bebygd,0
14 LNFR,Bebygd,11403
14 LNFR,Samferdsel,7268
14 LNFR,Fulldyrka jord,96329
14 LNFR,Overflatedyrka jord,246
14 LNFR,Innmarksbeite,2604
14 LNFR,Skog,540048
14 LNFR,Åpen fastmark,9877
14 LNFR,Myr,10205
14 LNFR,Ferskvann,70
14 LNFR,Hav,9
15 LNFR spredt,Bebygd,8
15 LNFR spredt,Samferdsel,1
15 LNFR spredt,Fulldyrka jord,1
15 LNFR spredt,Skog,3
15 LNFR spredt,Åpen fastmark,0
16 Havner og småbåthavner,Bebygd,217
16 Havner og småbåthavner,Samferdsel,127
16 Havner og småbåthavner,Skog,27
16 Havner og småbåthavner,Åpen fastmark,38
16 Havner og småbåthavner,Myr,1
16 Havner og småbåthavner,Ferskvann,42
16 Havner og småbåthavner,Hav,526
"17 Sjø og vassdrag, flerbruk",Bebygd,17
"17 Sjø og vassdrag, flerbruk",Samferdsel,8
"17 Sjø og vassdrag, flerbruk",Fulldyrka jord,0
"17 Sjø og vassdrag, flerbruk",Innmarksbeite,0
"17 Sjø og vassdrag, flerbruk",Skog,92
"17 Sjø og vassdrag, flerbruk",Åpen fastmark,36
"17 Sjø og vassdrag, flerbruk",Myr,8
"17 Sjø og vassdrag, flerbruk",Ferskvann,43522
"17 Sjø og vassdrag, flerbruk",Hav,244614
18 Akvakultur,Hav,107
19 Udefinert,Bebygd,91
19 Udefinert,Samferdsel,9
19 Udefinert,Fulldyrka jord,39
19 Udefinert,Innmarksbeite,17
19 Udefinert,Skog,243
19 Udefinert,Åpen fastmark,53
19 Udefinert,Myr,20
19 Udefinert,Ferskvann,5
19 Udefinert,Hav,1
