Skoleår;Skole;Fagkode;Fag;Karaktertype;Karaktersnitt årsslutt;Antall elever;Antall elever med standpunktkarakter >0
2017/18;Færder videregående skole;FOR2003;Visuelle kunstfag 3;Standpunkt;-;8;8
2017/18;Færder videregående skole;FOR2006;Design og arkitektur 3;Standpunkt;4,00;8;8
2017/18;Færder videregående skole;FOR3003;Trykk og foto;Standpunkt;2,63;17;17
2017/18;Færder videregående skole;FSP5022;Fransk II, 1. år;Standpunkt;-;4;0
2017/18;Færder videregående skole;FSP5091;Spansk I, 1. år;Standpunkt;-;9;0
2017/18;Færder videregående skole;FSP5092;Spansk I;Standpunkt;-;2;2
2017/18;Færder videregående skole;FSP5094;Spansk II, 1. år;Standpunkt;-;4;0
2017/18;Færder videregående skole;FSP5095;Spansk II;Standpunkt;-;7;7
2017/18;Færder videregående skole;FSP5096;Spansk I+II, 1. år;Standpunkt;-;5;0
2017/18;Færder videregående skole;FSP5097;Spansk I+II, 2. år;Standpunkt;-;2;0
2017/18;Færder videregående skole;FSP5098;Spansk I+II;Standpunkt;-;2;2
2017/18;Færder videregående skole;FSP5118;Tysk I, 1. år;Standpunkt;3,80;7;0
2017/18;Færder videregående skole;FSP5119;Tysk I;Standpunkt;-;9;8
2017/18;Færder videregående skole;FSP5122;Tysk II;Standpunkt;-;2;2
2017/18;Færder videregående skole;FSP5123;Tysk I+II, 1. år;Standpunkt;-;1;0
2017/18;Færder videregående skole;FSP5124;Tysk I+II, 2. år;Standpunkt;-;3;0
2017/18;Færder videregående skole;GEO1001;Geografi;Standpunkt;4,43;26;24
2017/18;Færder videregående skole;HIS1001;Historie vg2 studieforberedende utdanningsprogram;Standpunkt;-;26;0
2017/18;Færder videregående skole;HIS1002;Historie vg3 studieforberedende utdanningsprogram;Standpunkt;-;8;8
2017/18;Færder videregående skole;HIS1003;Historie vg3 påbygging til generell studiekompetanse;Standpunkt;3,83;163;150
2017/18;Færder videregående skole;IKO3001;Institusjonskokkfaget;Standpunkt;-;1;0
2017/18;Færder videregående skole;INT3001;Interiørarbeid;Standpunkt;4,33;6;4
2017/18;Færder videregående skole;INT3002;Presentasjon;Standpunkt;3,67;6;4
2017/18;Færder videregående skole;INT3003;Tverrfaglig eksamen interiør;Standpunkt;-;5;0
2017/18;Færder videregående skole;ISF3001;IKT-servicefaget;Standpunkt;3,40;1;0
2017/18;Færder videregående skole;IUD2001;Produksjon;Standpunkt;-;13;13
2017/18;Færder videregående skole;IUD2002;Produktdesign;Standpunkt;3,21;13;13
2017/18;Færder videregående skole;IUD2003;Tverrfaglig eksamen interiør og utstillingsdesign;Standpunkt;4,10;13;0
2017/18;Færder videregående skole;KAD3001;Kontor- og administrasjonsfaget;Standpunkt;-;1;0
2017/18;Færder videregående skole;KDA2001;Kunst og visuelle virkemidler 1;Standpunkt;4,13;32;27
2017/18;Færder videregående skole;KDA2002;Kunst og visuelle virkemidler 2;Standpunkt;-;26;24
2017/18;Færder videregående skole;KDA2004;Design og arkitektur 1;Standpunkt;3,60;32;27
2017/18;Færder videregående skole;KDA2005;Design og arkitektur 2;Standpunkt;4,57;26;24
2017/18;Færder videregående skole;KDA3001;Kunst og skapende arbeid;Standpunkt;3,33;15;12
2017/18;Færder videregående skole;KDA3004;Foto og grafikk 1;Standpunkt;-;11;0
2017/18;Færder videregående skole;KEM2001;Produksjon;Standpunkt;3,57;8;7
2017/18;Færder videregående skole;KEM2002;Bransjelære;Standpunkt;3,43;8;7
2017/18;Færder videregående skole;KEM2003;Tverrfaglig eksamen klima-, energi- og miljøteknikk;Standpunkt;-;7;0
2017/18;Færder videregående skole;KJT2001;Verkstedarbeid;Standpunkt;3,45;31;24
2017/18;Færder videregående skole;KJT2002;Dokumentasjon og kvalitet;Standpunkt;3,72;31;25
2017/18;Færder videregående skole;KJT2003;Tverrfaglig eksamen kjøretøy;Standpunkt;4,43;25;0
2017/18;Færder videregående skole;KRO1004;Kroppsøving vg1;Standpunkt;3,77;214;0
2017/18;Færder videregående skole;KRO1005;Kroppsøving vg2;Standpunkt;3,87;220;168
2017/18;Færder videregående skole;KRO1006;Kroppsøving vg3;Standpunkt;4,07;89;74
2017/18;Færder videregående skole;KVT2001;Kulde- og varmepumpesystemer;Standpunkt;-;7;6
2017/18;Færder videregående skole;KVT2002;Elenergi- og automatiseringssystemer;Standpunkt;4,86;7;6
2017/18;Færder videregående skole;KVT2003;Tverrfaglig eksamen i kulde- og varmepumpeteknikk;Standpunkt;4,02;6;0
2017/18;Færder videregående skole;MAR2005;Drift og operasjon;Standpunkt;3,32;30;29
2017/18;Færder videregående skole;MAR2006;Skipstekniske tjenester;Standpunkt;3,89;30;29
2017/18;Færder videregående skole;MAR2007;Dokumentasjon og kvalitet;Standpunkt;3,67;30;29
2017/18;Færder videregående skole;MAR2008;Dekk;Standpunkt;4,33;28;16
2017/18;Færder videregående skole;MAR2009;Maskin;Standpunkt;4,15;28;13
2017/18;Færder videregående skole;MAR2010;Tverrfaglig eksamen maritime fag, dekk;Standpunkt;4,48;16;0
2017/18;Færder videregående skole;MAR2011;Tverrfaglig eksamen maritime fag, maskin;Standpunkt;3,78;13;0
2017/18;Færder videregående skole;MAT1001;Matematikk 1P-Y;Standpunkt;3,67;181;159
2017/18;Færder videregående skole;MAT1005;Matematikk 2P-Y;Standpunkt;3,80;153;135
2017/18;Færder videregående skole;MAT1011;Matematikk 1P;Standpunkt;3,67;28;21
2017/18;Færder videregående skole;MAT1013;Matematikk 1T;Standpunkt;4,17;36;25
2017/18;Færder videregående skole;MAT1015;Matematikk 2P;Standpunkt;4,26;26;24
2017/18;Færder videregående skole;MAT1105;Matematikk 2P-Y, muntlig;Standpunkt;4,06;19;0
2017/18;Færder videregående skole;MEL3001;Elenergisystemer;Standpunkt;-;16;14
2017/18;Færder videregående skole;MEL3002;Tele-, data- og sikkerhetssystemer;Standpunkt;4,03;16;15
2017/18;Færder videregående skole;MEL3003;Automatiserte systemer;Standpunkt;4,73;16;15
2017/18;Færder videregående skole;MEL3004;Organisasjon og ledelse;Standpunkt;4,08;16;15
2017/18;Færder videregående skole;MEL3005;Tverrfaglig eksamen;Standpunkt;4,05;15;0
2017/18;Færder videregående skole;MGR3001;Mediegrafikerfaget;Standpunkt;-;1;0
2017/18;Færder videregående skole;NAT1001;Naturfag, vg1 yrkesfaglig utdanningsprogram;Standpunkt;3,72;185;159
2017/18;Færder videregående skole;NAT1002;Naturfag, vg1 studieforberedende utdanningsprogram;Standpunkt;4,09;46;41
2017/18;Færder videregående skole;NAT1003;Naturfag, vg3 påbygging til generell studiekompetanse;Standpunkt;3,59;154;140
2017/18;Færder videregående skole;NOR1155;Grunnleggende norsk for språklige minoriteter, nivå 2, vg1 yrkesfaglige utdanningsprogram;Standpunkt;-;3;0
2017/18;Færder videregående skole;NOR1159;Grunnleggende norsk for språklige minoriteter, nivå 3, vg1 yrkesfaglige utdanningsprogram;Standpunkt;3,67;3;0
2017/18;Færder videregående skole;NOR1201;Norsk hovedmål, vg1 studieforberedende utdanningsprogram, skriftlig;Standpunkt;3,98;46;0
2017/18;Færder videregående skole;NOR1202;Norsk sidemål, vg1 studieforberedende utdanningsprogram, skriftlig;Standpunkt;4,64;46;0
2017/18;Færder videregående skole;NOR1203;Norsk, vg1 studieforberedende utdanningsprogram, muntlig;Standpunkt;-;46;0
2017/18;Færder videregående skole;NOR1204;Norsk, vg1 yrkesfaglige utdanningsprogram;Standpunkt;3,71;174;0
2017/18;Færder videregående skole;NOR1206;Norsk, vg2 yrkesfaglige utdanningsprogram;Standpunkt;4,10;187;161
2017/18;Færder videregående skole;NOR1208;Norsk hovedmål, vg2 studieforberedende utdanningsprogram, skriftlig;Standpunkt;4,66;26;0
2017/18;Færder videregående skole;NOR1209;Norsk sidemål, vg2 studieforberedende utdanningsprogram, skriftlig;Standpunkt;3,77;26;0
2017/18;Færder videregående skole;NOR1210;Norsk, vg2 studieforberedende utdanningsprogram, muntlig;Standpunkt;4,86;26;0
2017/18;Færder videregående skole;NOR1211;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Standpunkt;3,49;23;22
2017/18;Færder videregående skole;NOR1212;Norsk sidemål,  vg3 studieforberedende utdanningsprogram, skriftlig;Standpunkt;4,33;23;21
2017/18;Færder videregående skole;NOR1213;Norsk, vg3 studieforberedende utdanningsprogram, muntlig;Standpunkt;3,87;23;22
2017/18;Færder videregående skole;NOR1231;Norsk hovedmål, vg3 påbygging til generell studiekompetanse, skriftlig;Standpunkt;3,61;154;132
2017/18;Færder videregående skole;NOR1232;Norsk sidemål, vg3 påbygging til generell studiekompetanse, skriftlig;Standpunkt;3,87;154;112
2017/18;Færder videregående skole;NOR1233;Norsk, vg3 påbygging til generell studiekompetanse, muntlig;Standpunkt;3,88;154;132
2017/18;Færder videregående skole;NOR1405;Norsk for elever i vgo med kort botid i Norge, vg3 studieforberedende utdanningsprogram, skriftlig;Standpunkt;-;1;1
2017/18;Færder videregående skole;NOR1406;Norsk for elever i vgo med kort botid i Norge, vg3 studieforberedende utdanningsprogram, muntlig;Standpunkt;-;1;1
2017/18;Færder videregående skole;NOR1407;Norsk for elever i vgo med kort botid i Norge, vg1 yrkesfaglige utdanningsprogram;Standpunkt;3,21;17;0
2017/18;Færder videregående skole;NOR1408;Norsk for elever i vgo med kort botid i Norge, vg2 yrkesfaglige utdanningsprogram;Standpunkt;-;7;6
2017/18;Færder videregående skole;NOR1410;Norsk for elever i vgo med kort botid i Norge, vg3 påbygging til generell studiekompetanse, skriftlig;Standpunkt;-;6;6
2017/18;Færder videregående skole;NOR1411;Norsk for elever i vgo med kort botid i Norge, vg3 påbygging til generell studiekompetanse, muntlig;Standpunkt;4,29;6;6
2017/18;Færder videregående skole;PIN2001;Produksjon;Standpunkt;3,88;15;13
2017/18;Færder videregående skole;PIN2002;Reparasjon og vedlikehold;Standpunkt;3,94;16;13
2017/18;Færder videregående skole;PIN2003;Dokumentasjon og kvalitet;Standpunkt;3,75;15;13
2017/18;Færder videregående skole;PIN2004;Tverrfaglig eksamen industriteknologi;Standpunkt;3,13;13;0
2017/18;Færder videregående skole;PLA3001;Platearbeiderfaget;Standpunkt;-;2;0
2017/18;Færder videregående skole;PRO3001;Produksjonselektronikerfaget;Standpunkt;-;1;0
2017/18;Færder videregående skole;REA3004;Fysikk 1;Standpunkt;-;12;8
2017/18;Færder videregående skole;REA3018;Teknologi og forskningslære 1;Standpunkt;3,67;22;7
2017/18;Færder videregående skole;REA3022;Matematikk R1;Standpunkt;4,33;22;18
2017/18;Færder videregående skole;REA3024;Matematikk R2;Standpunkt;5,75;11;11
2017/18;Færder videregående skole;REL1001;Religion og etikk;Standpunkt;4,44;8;8
2017/18;Færder videregående skole;SAF1001;Samfunnsfag;Standpunkt;3,81;228;202
2017/18;Færder videregående skole;SAM3028;Entreprenørskap og bedriftsutvikling 1;Standpunkt;3,24;32;16
2017/18;Færder videregående skole;SLG3001;Salgsfaget;Standpunkt;-;1;0
2017/18;Færder videregående skole;SPR3010;Samfunnsfaglig engelsk, skriftlig;Standpunkt;3,50;12;10
2017/18;Færder videregående skole;SPR3011;Samfunnsfaglig engelsk, muntlig;Standpunkt;3,83;12;10
2017/18;Færder videregående skole;TIP1001;Produksjon;Standpunkt;3,66;69;55
2017/18;Færder videregående skole;TIP1002;Tekniske tjenester;Standpunkt;3,79;69;56
2017/18;Færder videregående skole;TIP1003;Dokumentasjon og kvalitet;Standpunkt;3,39;69;56
2017/18;Færder videregående skole;TMF3001;Tømrerfaget;Standpunkt;-;3;0
2017/18;Færder videregående skole;YFF4106;Yrkesfaglig fordypning vg1;Standpunkt;4,06;201;168
2017/18;Færder videregående skole;YFF4209;Yrkesfaglig fordypning vg2;Standpunkt;3,99;193;172
2017/18;Greveskogen videregående skole;DAN2003;Scenisk dans 1;Standpunkt;-;12;9
2017/18;Greveskogen videregående skole;DRA2001;Teater og bevegelse 1;Standpunkt;4,63;16;15
2017/18;Greveskogen videregående skole;DRA2002;Teater og bevegelse 2;Standpunkt;2,91;12;11
2017/18;Greveskogen videregående skole;DRA2003;Teaterproduksjon 1;Standpunkt;4,00;16;16
2017/18;Greveskogen videregående skole;DRA2004;Teaterproduksjon 2;Standpunkt;3,40;12;11
2017/18;Greveskogen videregående skole;DRA2005;Teater i perspektiv 1;Standpunkt;5,06;16;14
2017/18;Greveskogen videregående skole;DRA2007;Teater i perspektiv 2;Standpunkt;5,33;12;11
2017/18;Greveskogen videregående skole;DRA2008;Teater i perspektiv 2, muntlig-praktisk;Standpunkt;-;6;0
2017/18;Greveskogen videregående skole;DRA2009;Drama og samfunn;Standpunkt;3,50;12;11
2017/18;Greveskogen videregående skole;DRA3001;Teaterproduksjon fordypning 1;Standpunkt;3,88;15;15
2017/18;Greveskogen videregående skole;DRA3002;Teaterproduksjon fordypning 2;Standpunkt;-;11;11
2017/18;Greveskogen videregående skole;ENG1001;Engelsk, vg1 yrkesfaglige utdanningprogram;Standpunkt;3,12;67;0
2017/18;Greveskogen videregående skole;ENG1002;Engelsk, vg1 studieforberedende utdanningsprogram;Standpunkt;4,46;247;236
2017/18;Greveskogen videregående skole;ENG1003;Engelsk, vg2 yrkesfaglige utdanningsprogram;Standpunkt;4,69;53;45
2017/18;Greveskogen videregående skole;FSP5019;Fransk I, 1. år;Standpunkt;-;19;0
2017/18;Greveskogen videregående skole;FSP5020;Fransk I;Standpunkt;-;13;8
2017/18;Greveskogen videregående skole;FSP5022;Fransk II, 1. år;Standpunkt;4,97;43;0
2017/18;Greveskogen videregående skole;FSP5023;Fransk II;Standpunkt;4,12;49;46
2017/18;Greveskogen videregående skole;FSP5027;Fransk II, muntlig;Standpunkt;4,80;15;0
2017/18;Greveskogen videregående skole;FSP5035;Italiensk I+II;Standpunkt;-;1;1
2017/18;Greveskogen videregående skole;FSP5091;Spansk I, 1. år;Standpunkt;4,67;27;0
2017/18;Greveskogen videregående skole;FSP5092;Spansk I;Standpunkt;4,05;30;14
2017/18;Greveskogen videregående skole;FSP5094;Spansk II, 1. år;Standpunkt;4,07;92;0
2017/18;Greveskogen videregående skole;FSP5095;Spansk II;Standpunkt;4,50;83;75
2017/18;Greveskogen videregående skole;FSP5097;Spansk I+II, 2. år;Standpunkt;4,50;14;0
2017/18;Greveskogen videregående skole;FSP5098;Spansk I+II;Standpunkt;-;2;1
2017/18;Greveskogen videregående skole;FSP5099;Spansk II, muntlig;Standpunkt;5,40;21;0
2017/18;Greveskogen videregående skole;FSP5118;Tysk I, 1. år;Standpunkt;3,20;51;0
2017/18;Greveskogen videregående skole;FSP5119;Tysk I;Standpunkt;3,28;59;50
2017/18;Greveskogen videregående skole;FSP5121;Tysk II, 1. år;Standpunkt;5,17;39;0
2017/18;Greveskogen videregående skole;FSP5122;Tysk II;Standpunkt;4,40;27;27
2017/18;Greveskogen videregående skole;FSP5124;Tysk I+II, 2. år;Standpunkt;-;1;0
2017/18;Greveskogen videregående skole;FSP5125;Tysk I+II;Standpunkt;-;11;9
2017/18;Greveskogen videregående skole;FSP5126;Tysk II, muntlig;Standpunkt;3,64;13;0
2017/18;Greveskogen videregående skole;FSP5870;Persisk I+II;Standpunkt;-;1;0
2017/18;Greveskogen videregående skole;FSP5871;Persisk II, muntlig;Standpunkt;-;1;0
2017/18;Greveskogen videregående skole;FSP5882;Somali I;Standpunkt;-;1;0
2017/18;Greveskogen videregående skole;FSP5883;Somali I, muntlig;Standpunkt;-;1;0
2017/18;Greveskogen videregående skole;FSP6072;Islandsk I;Standpunkt;-;1;0
2017/18;Greveskogen videregående skole;FSP6088;Islandsk I, muntlig;Standpunkt;-;1;0
2017/18;Greveskogen videregående skole;GEO1001;Geografi;Standpunkt;4,20;250;241
2017/18;Greveskogen videregående skole;HIS1001;Historie vg2 studieforberedende utdanningsprogram;Standpunkt;4,26;276;0
2017/18;Greveskogen videregående skole;HIS1002;Historie vg3 studieforberedende utdanningsprogram;Standpunkt;4,38;243;224
2017/18;Greveskogen videregående skole;IDR3004;Breddeidrett 1;Standpunkt;3,20;39;34
2017/18;Greveskogen videregående skole;IDR3005;Breddeidrett 2;Standpunkt;3,22;31;29
2017/18;Greveskogen videregående skole;IDR3007;Friluftsliv 1;Standpunkt;4,23;44;22
2017/18;Greveskogen videregående skole;ISF2001;Drift og vedlikehold;Standpunkt;4,81;17;15
2017/18;Greveskogen videregående skole;ISF2002;Bruker- og driftsstøtte;Standpunkt;3,19;17;14
2017/18;Greveskogen videregående skole;ISF2003;Virksomhetsstøtte;Standpunkt;3,63;17;15
2017/18;Greveskogen videregående skole;ISF2004;Tverrfaglig eksamen IKT-servicefag;Standpunkt;4,75;15;0
2017/18;Greveskogen videregående skole;KDA2002;Kunst og visuelle virkemidler 2;Standpunkt;4,14;16;9
2017/18;Greveskogen videregående skole;KRO1004;Kroppsøving vg1;Standpunkt;4,77;283;0
2017/18;Greveskogen videregående skole;KRO1005;Kroppsøving vg2;Standpunkt;3,97;295;43
2017/18;Greveskogen videregående skole;KRO1006;Kroppsøving vg3;Standpunkt;4,34;210;189
2017/18;Greveskogen videregående skole;MAT1001;Matematikk 1P-Y;Standpunkt;3,33;67;47
2017/18;Greveskogen videregående skole;MAT1011;Matematikk 1P;Standpunkt;4,05;152;145
2017/18;Greveskogen videregående skole;MAT1013;Matematikk 1T;Standpunkt;5,38;117;93
2017/18;Greveskogen videregående skole;MAT1015;Matematikk 2P;Standpunkt;4,05;182;169
2017/18;Greveskogen videregående skole;MDD2001;Musikk, dans og drama;Standpunkt;4,22;30;28
2017/18;Greveskogen videregående skole;MDD3001;Bevegelse;Standpunkt;4,00;16;16
2017/18;Greveskogen videregående skole;MDD3002;Lytting;Standpunkt;5,33;14;13
2017/18;Greveskogen videregående skole;MDD3004;Musikk;Standpunkt;3,42;14;13
2017/18;Greveskogen videregående skole;MDD3005;Teaterensemble;Standpunkt;4,33;16;16
2017/18;Greveskogen videregående skole;MFG2001;Råvarer, produksjon og kvalitet;Standpunkt;3,13;9;9
2017/18;Greveskogen videregående skole;MFG2002;Salg og marked;Standpunkt;3,90;9;9
2017/18;Greveskogen videregående skole;MFG2003;Bransje, fag og miljø;Standpunkt;-;9;9
2017/18;Greveskogen videregående skole;MFG2004;Tverrfaglig eksamen matfag;Standpunkt;3,38;9;0
2017/18;Greveskogen videregående skole;MUS2001;Ergonomi og bevegelse 1;Standpunkt;3,25;17;16
2017/18;Greveskogen videregående skole;MUS2002;Ergonomi og bevegelse 2;Standpunkt;-;16;15
2017/18;Greveskogen videregående skole;MUS2003;Instrument, kor, samspill 1;Standpunkt;5,50;17;17
2017/18;Greveskogen videregående skole;MUS2004;Instrument, kor, samspill 2;Standpunkt;3,45;17;15
2017/18;Greveskogen videregående skole;MUS2005;Musikk i perspektiv 1;Standpunkt;5,13;17;16
2017/18;Greveskogen videregående skole;MUS2007;Musikk i perspektiv 2;Standpunkt;5,90;17;15
2017/18;Greveskogen videregående skole;MUS2009;Instruksjon og ledelse;Standpunkt;-;17;15
2017/18;Greveskogen videregående skole;MUS3001;Musikk fordypning 1;Standpunkt;4,71;16;16
2017/18;Greveskogen videregående skole;MUS3003;Musikk fordypning 2;Standpunkt;-;14;12
2017/18;Greveskogen videregående skole;NAT1001;Naturfag, vg1 yrkesfaglig utdanningsprogram;Standpunkt;3,93;65;47
2017/18;Greveskogen videregående skole;NAT1002;Naturfag, vg1 studieforberedende utdanningsprogram;Standpunkt;4,20;249;240
2017/18;Greveskogen videregående skole;NOR1201;Norsk hovedmål, vg1 studieforberedende utdanningsprogram, skriftlig;Standpunkt;4,31;247;1
2017/18;Greveskogen videregående skole;NOR1202;Norsk sidemål, vg1 studieforberedende utdanningsprogram, skriftlig;Standpunkt;4,26;247;0
2017/18;Greveskogen videregående skole;NOR1203;Norsk, vg1 studieforberedende utdanningsprogram, muntlig;Standpunkt;4,48;247;0
2017/18;Greveskogen videregående skole;NOR1204;Norsk, vg1 yrkesfaglige utdanningsprogram;Standpunkt;3,50;66;0
2017/18;Greveskogen videregående skole;NOR1206;Norsk, vg2 yrkesfaglige utdanningsprogram;Standpunkt;3,64;55;47
2017/18;Greveskogen videregående skole;NOR1208;Norsk hovedmål, vg2 studieforberedende utdanningsprogram, skriftlig;Standpunkt;4,28;290;0
2017/18;Greveskogen videregående skole;NOR1209;Norsk sidemål, vg2 studieforberedende utdanningsprogram, skriftlig;Standpunkt;4,10;286;0
2017/18;Greveskogen videregående skole;NOR1210;Norsk, vg2 studieforberedende utdanningsprogram, muntlig;Standpunkt;4,05;286;0
2017/18;Greveskogen videregående skole;NOR1211;Norsk hovedmål, vg3 studieforberedende utdanningsprogram, skriftlig;Standpunkt;4,72;253;232
2017/18;Greveskogen videregående skole;NOR1212;Norsk sidemål,  vg3 studieforberedende utdanningsprogram, skriftlig;Standpunkt;4,22;252;214
2017/18;Greveskogen videregående skole;NOR1213;Norsk, vg3 studieforberedende utdanningsprogram, muntlig;Standpunkt;4,49;251;220
2017/18;Greveskogen videregående skole;NOR1405;Norsk for elever i vgo med kort botid i Norge, vg3 studieforberedende utdanningsprogram, skriftlig;Standpunkt;3,71;8;8
2017/18;Greveskogen videregående skole;NOR1406;Norsk for elever i vgo med kort botid i Norge, vg3 studieforberedende utdanningsprogram, muntlig;Standpunkt;3,90;8;8
2017/18;Greveskogen videregående skole;PSP5017;Fransk nivå III;Standpunkt;-;1;0
2017/18;Greveskogen videregående skole;PSP5053;Spansk nivå III;Standpunkt;4,90;14;12
2017/18;Greveskogen videregående skole;PSP5054;Spansk nivå III, muntlig;Standpunkt;4,72;14;12
2017/18;Greveskogen videregående skole;PSP5071;Tysk nivå III;Standpunkt;3,90;11;9
2017/18;Greveskogen videregående skole;PSP5072;Tysk nivå III, muntlig;Standpunkt;5,25;11;9
2017/18;Greveskogen videregående skole;PSP5518;Dari nivå I;Standpunkt;-;2;0
2017/18;Greveskogen videregående skole;PSP5519;Dari nivå I, muntlig;Standpunkt;-;2;0
2017/18;Greveskogen videregående skole;PSP5520;Dari nivå II;Standpunkt;-;2;0
2017/18;Greveskogen videregående skole;PSP5521;Dari nivå II, muntlig;Standpunkt;-;2;0
2017/18;Greveskogen videregående skole;PSP5556;Somali nivå II;Standpunkt;-;1;0
2017/18;Greveskogen videregående skole;PSP5557;Somali nivå II, muntlig;Standpunkt;-;1;0
2017/18;Greveskogen videregående skole;PSP5644;Portugisisk nivå I;Standpunkt;-;1;0
2017/18;Greveskogen videregående skole;PSP5645;Portugisisk nivå I, muntlig;Standpunkt;-;1;0
2017/18;Greveskogen videregående skole;PSP5646;Portugisisk nivå II;Standpunkt;-;1;0
2017/18;Greveskogen videregående skole;PSP5647;Portugisisk nivå II, muntlig;Standpunkt;-;1;0
2017/18;Greveskogen videregående skole;PSP5732;Islandsk nivå II;Standpunkt;-;1;0
2017/18;Greveskogen videregående skole;PSP5733;Islandsk nivå II, muntlig;Standpunkt;3,56;2;0
2017/18;Greveskogen videregående skole;REA3001;Biologi 1;Standpunkt;4,70;52;47
2017/18;Greveskogen videregående skole;REA3002;Biologi 2;Standpunkt;4,72;18;17
2017/18;Greveskogen videregående skole;REA3003;Biologi 2, muntlig-praktisk;Standpunkt;-;6;0
2017/18;Greveskogen videregående skole;REA3004;Fysikk 1;Standpunkt;4,28;84;78
2017/18;Greveskogen videregående skole;REA3005;Fysikk 2;Standpunkt;4,06;22;19
2017/18;Greveskogen videregående skole;REA3006;Fysikk 2, muntlig-praktisk;Standpunkt;-;5;0
2017/18;Greveskogen videregående skole;REA3011;Kjemi 1;Standpunkt;4,50;78;71
2017/18;Greveskogen videregående skole;REA3012;Kjemi 2;Standpunkt;5,04;23;20
2017/18;Greveskogen videregående skole;REA3013;Kjemi 2, muntlig-praktisk;Standpunkt;4,89;5;0
2017/18;Greveskogen videregående skole;REA3014;Informasjonsteknologi 1;Standpunkt;3,18;57;48
2017/18;Greveskogen videregående skole;REA3015;Informasjonsteknologi 2;Standpunkt;4,11;25;18
2017/18;Greveskogen videregående skole;REA3016;Informasjonsteknologi 2, muntlig-praktisk;Standpunkt;5,00;6;0
2017/18;Greveskogen videregående skole;REA3018;Teknologi og forskningslære 1;Standpunkt;5,67;30;30
2017/18;Greveskogen videregående skole;REA3022;Matematikk R1;Standpunkt;-;69;62
2017/18;Greveskogen videregående skole;REA3024;Matematikk R2;Standpunkt;5,33;33;29
2017/18;Greveskogen videregående skole;REA3026;Matematikk S1;Standpunkt;3,71;60;39
2017/18;Greveskogen videregående skole;REA3028;Matematikk S2;Standpunkt;4,58;37;29
2017/18;Greveskogen videregående skole;REA3029;Matematikk S2, muntlig;Standpunkt;3,63;7;0
2017/18;Greveskogen videregående skole;REL1001;Religion og etikk;Standpunkt;4,51;240;226
2017/18;Greveskogen videregående skole;RFG2001;Råvarer og produksjon;Standpunkt;-;10;8
