Skoleår;Fagkode;Fag;Karaktertype;Karaktersnitt årsslutt;Antall elever;Antall elever med skriftlig eksamenskarakter >0
2017/18;FOR2003;Visuelle kunstfag 3;SkriftligEksamen;3,39;32;0
2017/18;FOR2006;Design og arkitektur 3;SkriftligEksamen;4,33;32;0
2017/18;FOR3003;Trykk og foto;SkriftligEksamen;5,00;17;0
2017/18;FRI2001;Produksjon;SkriftligEksamen;-;23;0
2017/18;FRI2002;Frisyredesign;SkriftligEksamen;-;23;0
2017/18;FRI2003;Tverrfaglig eksamen frisør;SkriftligEksamen;3,50;22;0
2017/18;FSP5019;Fransk I, 1. år;SkriftligEksamen;-;27;0
2017/18;FSP5020;Fransk I;SkriftligEksamen;4,00;25;5
2017/18;FSP5022;Fransk II, 1. år;SkriftligEksamen;3,50;204;0
2017/18;FSP5023;Fransk II;SkriftligEksamen;4,50;204;59
2017/18;FSP5024;Fransk I+II, 1. år;SkriftligEksamen;-;1;0
2017/18;FSP5025;Fransk I+II, 2. år;SkriftligEksamen;2,00;3;0
2017/18;FSP5026;Fransk I+II;SkriftligEksamen;-;2;0
2017/18;FSP5027;Fransk II, muntlig;SkriftligEksamen;-;22;0
2017/18;FSP5028;Italiensk I, 1. år;SkriftligEksamen;5,00;61;0
2017/18;FSP5029;Italiensk I;SkriftligEksamen;4,00;49;15
2017/18;FSP5035;Italiensk I+II;SkriftligEksamen;-;1;0
2017/18;FSP5086;Russisk II;SkriftligEksamen;-;1;0
2017/18;FSP5090;Russisk II, muntlig;SkriftligEksamen;-;1;0
2017/18;FSP5091;Spansk I, 1. år;SkriftligEksamen;4,00;178;0
2017/18;FSP5092;Spansk I;SkriftligEksamen;3,00;150;42
2017/18;FSP5094;Spansk II, 1. år;SkriftligEksamen;4,33;422;0
2017/18;FSP5095;Spansk II;SkriftligEksamen;3,57;418;161
2017/18;FSP5096;Spansk I+II, 1. år;SkriftligEksamen;-;60;0
2017/18;FSP5097;Spansk I+II, 2. år;SkriftligEksamen;2,20;74;0
2017/18;FSP5098;Spansk I+II;SkriftligEksamen;3,61;56;18
2017/18;FSP5099;Spansk II, muntlig;SkriftligEksamen;-;28;0
2017/18;FSP5118;Tysk I, 1. år;SkriftligEksamen;3,00;295;0
2017/18;FSP5119;Tysk I;SkriftligEksamen;3,35;317;73
2017/18;FSP5120;Tysk I, muntlig;SkriftligEksamen;-;11;0
2017/18;FSP5121;Tysk II, 1. år;SkriftligEksamen;4,00;371;0
2017/18;FSP5122;Tysk II;SkriftligEksamen;2,81;301;78
2017/18;FSP5123;Tysk I+II, 1. år;SkriftligEksamen;-;94;0
2017/18;FSP5124;Tysk I+II, 2. år;SkriftligEksamen;3,33;95;0
2017/18;FSP5125;Tysk I+II;SkriftligEksamen;3,14;79;19
2017/18;FSP5126;Tysk II, muntlig;SkriftligEksamen;3,00;31;0
2017/18;FSP5804;Albansk II;SkriftligEksamen;-;1;0
2017/18;FSP5808;Albansk II, muntlig;SkriftligEksamen;-;1;0
2017/18;FSP5813;Arabisk II;SkriftligEksamen;3,00;1;0
2017/18;FSP5817;Arabisk II, muntlig;SkriftligEksamen;-;1;0
2017/18;FSP5867;Persisk II;SkriftligEksamen;-;1;0
2017/18;FSP5870;Persisk I+II;SkriftligEksamen;-;1;0
2017/18;FSP5871;Persisk II, muntlig;SkriftligEksamen;-;2;0
2017/18;FSP5876;Polsk II;SkriftligEksamen;4,00;2;0
2017/18;FSP5880;Polsk II, muntlig;SkriftligEksamen;-;1;0
2017/18;FSP5882;Somali I;SkriftligEksamen;-;2;0
2017/18;FSP5883;Somali I, muntlig;SkriftligEksamen;1,50;2;0
2017/18;FSP6011;Pashto II;SkriftligEksamen;-;1;0
2017/18;FSP6029;Tigrinja II;SkriftligEksamen;-;1;0
2017/18;FSP6072;Islandsk I;SkriftligEksamen;-;2;0
2017/18;FSP6074;Islandsk II;SkriftligEksamen;-;1;0
2017/18;FSP6078;Islandsk II, muntlig;SkriftligEksamen;-;1;0
2017/18;FSP6088;Islandsk I, muntlig;SkriftligEksamen;-;2;0
2017/18;FSP6097;Litauisk II;SkriftligEksamen;-;1;0
2017/18;FSP6101;Litauisk II, muntlig;SkriftligEksamen;-;1;0
2017/18;GEO1001;Geografi;SkriftligEksamen;3,11;1 660;0
2017/18;HEA2001;Helsefremmende arbeid;SkriftligEksamen;3,50;146;2
2017/18;HEA2002;Kommunikasjon og samhandling;SkriftligEksamen;3,33;141;1
2017/18;HEA2003;Yrkesutøvelse;SkriftligEksamen;1,75;140;1
2017/18;HEA2004;Tverrfaglig eksamen helsearbeiderfag;SkriftligEksamen;3,20;133;0
2017/18;HES2001;Helsefremmende arbeid;SkriftligEksamen;3,50;30;0
2017/18;HES2002;Kommunikasjon og samhandling;SkriftligEksamen;4,00;30;0
2017/18;HES2003;Yrkesutøvelse;SkriftligEksamen;-;30;0
2017/18;HES2004;Tverrfaglig eksamen helseservicefag;SkriftligEksamen;2,00;29;0
2017/18;HHO2001;Stalldrift;SkriftligEksamen;5,00;12;0
2017/18;HHO2002;Aktiviteter med hest;SkriftligEksamen;-;12;0
2017/18;HHO2003;Hest og hestehold;SkriftligEksamen;-;12;0
2017/18;HHO2004;Tverrfaglig eksamen heste- og hovslagerfag;SkriftligEksamen;-;9;0
2017/18;HIS1001;Historie vg2 studieforberedende utdanningsprogram;SkriftligEksamen;2,92;1 632;0
2017/18;HIS1002;Historie vg3 studieforberedende utdanningsprogram;SkriftligEksamen;3,67;1 543;0
2017/18;HIS1003;Historie vg3 påbygging til generell studiekompetanse;SkriftligEksamen;2,97;566;0
2017/18;HSE3001;Helsefremmande arbeid;SkriftligEksamen;-;6;0
2017/18;HSE3002;Kommunikasjon og samhandling;SkriftligEksamen;-;6;0
2017/18;HSE3003;Yrkesutøvelse;SkriftligEksamen;-;6;0
2017/18;HSE3004;Tverrfaglig eksamen, helsesekretær;SkriftligEksamen;-;5;0
2017/18;HSF1001;Helsefremmende arbeid;SkriftligEksamen;2,00;409;0
2017/18;HSF1002;Kommunikasjon og samhandling;SkriftligEksamen;-;408;0
2017/18;HSF1003;Yrkesutøvelse;SkriftligEksamen;2,33;408;0
2017/18;IBA2010;English B HL;SkriftligEksamen;-;20;0
2017/18;IBA2016;English A language and literature HL;SkriftligEksamen;-;18;0
2017/18;IBA2018;English A language and literature SL;SkriftligEksamen;-;3;0
2017/18;IBA2025;Theory of Knowledge;SkriftligEksamen;-;35;0
2017/18;IBA2030;History HL;SkriftligEksamen;-;15;0
2017/18;IBA2040;Biology HL;SkriftligEksamen;-;5;0
2017/18;IBA2045;Biology SL;SkriftligEksamen;-;19;0
2017/18;IBA2050;Chemistry HL;SkriftligEksamen;-;15;0
2017/18;IBA2055;Chemistry SL;SkriftligEksamen;-;6;0
2017/18;IBA2060;Physics HL;SkriftligEksamen;-;17;0
2017/18;IBA2065;Physics SL;SkriftligEksamen;-;5;0
2017/18;IBA2070;Mathematics HL;SkriftligEksamen;-;25;0
2017/18;IBA2075;Mathematical Studies SL;SkriftligEksamen;-;26;0
2017/18;IBA2076;Mathematics SL;SkriftligEksamen;-;1;0
2017/18;IBA2080;Economics HL;SkriftligEksamen;-;23;0
2017/18;IBA2085;Economics SL;SkriftligEksamen;-;7;0
2017/18;IBA2100;Creativity/Action/Service;SkriftligEksamen;-;35;0
2017/18;IBA2120;French B HL;SkriftligEksamen;-;6;0
2017/18;IBA2122;French ab Initio SL;SkriftligEksamen;-;1;0
2017/18;IBA2125;French B SL;SkriftligEksamen;-;6;0
2017/18;IBA2130;German A1 HL;SkriftligEksamen;-;1;0
2017/18;IBA2135;German B SL;SkriftligEksamen;-;2;0
2017/18;IBA2210;Norwegian B HL;SkriftligEksamen;-;14;0
2017/18;IBA2226;Norwegian A literature HL;SkriftligEksamen;-;28;0
2017/18;IBA2228;Norwegian A literature SL;SkriftligEksamen;-;9;0
2017/18;IBA2370;Spanish B HL;SkriftligEksamen;-;1;0
2017/18;IBA2375;Spanish B SL;SkriftligEksamen;-;1;0
2017/18;IBA2465;Environmental systems and societies SL;SkriftligEksamen;-;15;0
2017/18;IBA4010;English B HL;SkriftligEksamen;5,00;10;10
2017/18;IBA4016;English A language and literature HL;SkriftligEksamen;-;13;13
2017/18;IBA4025;Theory of knowledge;SkriftligEksamen;3,61;26;0
2017/18;IBA4030;History HL;SkriftligEksamen;5,83;11;10
2017/18;IBA4035;History SL;SkriftligEksamen;4,33;6;6
2017/18;IBA4040;Biology HL;SkriftligEksamen;-;4;4
2017/18;IBA4045;Biology SL;SkriftligEksamen;5,00;13;11
2017/18;IBA4050;Chemistry HL;SkriftligEksamen;4,88;5;3
2017/18;IBA4055;Chemistry SL;SkriftligEksamen;5,22;9;8
2017/18;IBA4060;Physics HL;SkriftligEksamen;4,25;4;4
2017/18;IBA4065;Physics SL;SkriftligEksamen;5,67;5;4
2017/18;IBA4070;Mathematics HL;SkriftligEksamen;-;1;0
2017/18;IBA4075;Mathematical Studies SL;SkriftligEksamen;4,33;17;15
2017/18;IBA4076;Mathematics SL;SkriftligEksamen;6,00;11;10
2017/18;IBA4080;Economics HL;SkriftligEksamen;-;6;5
2017/18;IBA4085;Economics SL;SkriftligEksamen;-;9;7
2017/18;IBA4100;Creativity/Action/Service;SkriftligEksamen;5,08;27;0
2017/18;IBA4122;French ab Initio SL;SkriftligEksamen;-;1;1
2017/18;IBA4125;French B SL;SkriftligEksamen;-;1;0
2017/18;IBA4135;German B SL;SkriftligEksamen;-;1;1
2017/18;IBA4210;Norwegian B HL;SkriftligEksamen;-;3;3
2017/18;IBA4226;Norwegian A literature HL;SkriftligEksamen;5,67;18;18
2017/18;IBA4265;Spanish ab initio SL;SkriftligEksamen;-;1;1
2017/18;IBA4285;Self-taught languages A1 SL;SkriftligEksamen;-;1;1
2017/18;IBA4370;Spanish B HL;SkriftligEksamen;-;1;1
2017/18;IBA4375;Spanish B SL;SkriftligEksamen;-;3;2
2017/18;IDR2001;Aktivitetslære 1;SkriftligEksamen;4,00;197;0
2017/18;IDR2002;Aktivitetslære 2;SkriftligEksamen;2,78;194;0
2017/18;IDR2003;Aktivitetslære 3;SkriftligEksamen;3,59;208;0
2017/18;IDR2005;Treningslære 2;SkriftligEksamen;3,14;177;0
2017/18;IDR2007;Treningsledelse 1;SkriftligEksamen;3,18;192;0
2017/18;IDR2012;Idrett og samfunn vg2;SkriftligEksamen;2,90;192;0
2017/18;IDR2013;Idrett og samfunn vg3;SkriftligEksamen;2,80;208;0
2017/18;IDR2014;Treningsledelse 2+3;SkriftligEksamen;3,05;209;0
2017/18;IDR2015;Treningslære 1 vg1;SkriftligEksamen;4,00;197;0
2017/18;IDR2016;Treningslære 1;SkriftligEksamen;2,75;192;67
2017/18;IDR2017;Treningslære 2;SkriftligEksamen;3,15;209;204
2017/18;IDR3001;Toppidrett 1;SkriftligEksamen;3,25;252;0
2017/18;IDR3002;Toppidrett 2;SkriftligEksamen;3,33;223;0
2017/18;IDR3003;Toppidrett 3;SkriftligEksamen;3,33;165;0
2017/18;IDR3004;Breddeidrett 1;SkriftligEksamen;3,21;271;0
2017/18;IDR3005;Breddeidrett 2;SkriftligEksamen;3,58;168;0
2017/18;IDR3006;Breddeidrett 3;SkriftligEksamen;3,06;81;0
2017/18;IDR3007;Friluftsliv 1;SkriftligEksamen;4,07;123;0
2017/18;IDR3008;Friluftsliv 2;SkriftligEksamen;2,50;14;0
2017/18;IKO3001;Institusjonskokkfaget;SkriftligEksamen;-;1;0
2017/18;INT3001;Interiørarbeid;SkriftligEksamen;-;6;0
2017/18;INT3002;Presentasjon;SkriftligEksamen;-;6;0
2017/18;INT3003;Tverrfaglig eksamen interiør;SkriftligEksamen;-;5;0
2017/18;IOP1000;Individuell opplæringsplan 1. år;SkriftligEksamen;-;3;0
2017/18;IOP2000;Individuell opplæringsplan 2. år;SkriftligEksamen;-;1;0
2017/18;ISF2001;Drift og vedlikehold;SkriftligEksamen;2,33;51;1
2017/18;ISF2002;Bruker- og driftsstøtte;SkriftligEksamen;3,00;51;2
2017/18;ISF2003;Virksomhetsstøtte;SkriftligEksamen;4,00;51;0
2017/18;ISF2004;Tverrfaglig eksamen IKT-servicefag;SkriftligEksamen;4,00;46;0
2017/18;ISF3001;IKT-servicefaget;SkriftligEksamen;-;1;0
2017/18;IUD2001;Produksjon;SkriftligEksamen;2,67;20;0
2017/18;IUD2002;Produktdesign;SkriftligEksamen;3,00;20;0
2017/18;IUD2003;Tverrfaglig eksamen interiør og utstillingsdesign;SkriftligEksamen;3,67;19;0
2017/18;KAD3001;Kontor- og administrasjonsfaget;SkriftligEksamen;-;1;0
2017/18;KDA2001;Kunst og visuelle virkemidler 1;SkriftligEksamen;-;52;0
2017/18;KDA2002;Kunst og visuelle virkemidler 2;SkriftligEksamen;2,50;72;0
2017/18;KDA2004;Design og arkitektur 1;SkriftligEksamen;3,00;51;0
2017/18;KDA2005;Design og arkitektur 2;SkriftligEksamen;3,00;56;0
2017/18;KDA3001;Kunst og skapende arbeid;SkriftligEksamen;-;15;0
2017/18;KDA3003;Arkitektur og samfunn;SkriftligEksamen;4,00;15;0
2017/18;KDA3004;Foto og grafikk 1;SkriftligEksamen;2,00;41;0
2017/18;KEM2001;Produksjon;SkriftligEksamen;-;8;0
2017/18;KEM2002;Bransjelære;SkriftligEksamen;-;8;0
2017/18;KEM2003;Tverrfaglig eksamen klima-, energi- og miljøteknikk;SkriftligEksamen;-;7;0
2017/18;KJP2001;Produksjon og vedlikehold;SkriftligEksamen;2,33;14;0
2017/18;KJP2002;Kjemisk teknologi;SkriftligEksamen;-;14;0
2017/18;KJP2003;Dokumentasjon og kvalitet;SkriftligEksamen;-;14;0
2017/18;KJP2004;Tverrfaglig eksamen kjemiprosess;SkriftligEksamen;-;13;0
2017/18;KJT2001;Verkstedarbeid;SkriftligEksamen;4,00;47;0
2017/18;KJT2002;Dokumentasjon og kvalitet;SkriftligEksamen;2,00;47;0
2017/18;KJT2003;Tverrfaglig eksamen kjøretøy;SkriftligEksamen;4,33;39;0
2017/18;KRO1004;Kroppsøving vg1;SkriftligEksamen;3,25;2 664;0
2017/18;KRO1005;Kroppsøving vg2;SkriftligEksamen;3,28;2 496;0
2017/18;KRO1006;Kroppsøving vg3;SkriftligEksamen;3,29;1 741;0
2017/18;KVT2001;Kulde- og varmepumpesystemer;SkriftligEksamen;-;7;0
2017/18;KVT2002;Elenergi- og automatiseringssystemer;SkriftligEksamen;-;7;0
2017/18;KVT2003;Tverrfaglig eksamen i kulde- og varmepumpeteknikk;SkriftligEksamen;-;6;0
2017/18;LBR3006;Økologisk landbruk 1;SkriftligEksamen;3,88;8;8
2017/18;LGA2004;Produksjon, miljø og kvalitet;SkriftligEksamen;-;15;0
2017/18;LGA2005;Forvaltning og drift;SkriftligEksamen;-;15;0
2017/18;LGA2006;Landbruk;SkriftligEksamen;-;15;0
2017/18;LGA2008;Tverrfaglig eksamen landbruk;SkriftligEksamen;-;15;0
2017/18;MAR2005;Drift og operasjon;SkriftligEksamen;-;30;0
2017/18;MAR2006;Skipstekniske tjenester;SkriftligEksamen;-;30;0
2017/18;MAR2007;Dokumentasjon og kvalitet;SkriftligEksamen;-;30;0
2017/18;MAR2008;Dekk;SkriftligEksamen;-;28;0
2017/18;MAR2009;Maskin;SkriftligEksamen;-;28;0
2017/18;MAR2010;Tverrfaglig eksamen maritime fag, dekk;SkriftligEksamen;-;16;0
2017/18;MAR2011;Tverrfaglig eksamen maritime fag, maskin;SkriftligEksamen;-;13;0
2017/18;MAT1001;Matematikk 1P-Y;SkriftligEksamen;3,27;1 279;177
2017/18;MAT1005;Matematikk 2P-Y;SkriftligEksamen;2,91;479;157
2017/18;MAT1011;Matematikk 1P;SkriftligEksamen;3,18;1 094;79
2017/18;MAT1013;Matematikk 1T;SkriftligEksamen;3,45;756;84
2017/18;MAT1014;Matematikk 1T, muntlig;SkriftligEksamen;-;5;0
2017/18;MAT1015;Matematikk 2P;SkriftligEksamen;3,14;1 065;319
2017/18;MAT1016;Matematikk 2P, muntlig;SkriftligEksamen;-;21;0
2017/18;MAT1101;Matematikk 1P-Y, muntlig;SkriftligEksamen;-;3;0
2017/18;MAT1105;Matematikk 2P-Y, muntlig;SkriftligEksamen;3,25;47;0
2017/18;MDD2001;Musikk, dans og drama;SkriftligEksamen;-;82;0
2017/18;MDD3001;Bevegelse;SkriftligEksamen;-;22;0
2017/18;MDD3002;Lytting;SkriftligEksamen;-;60;0
2017/18;MDD3003;Danseteknikker;SkriftligEksamen;-;6;0
2017/18;MDD3004;Musikk;SkriftligEksamen;-;60;0
2017/18;MDD3005;Teaterensemble;SkriftligEksamen;-;16;0
2017/18;MED1001;Mediekommunikasjon;SkriftligEksamen;-;15;0
2017/18;MED1002;Mediedesign og medieuttrykk;SkriftligEksamen;-;15;0
2017/18;MED1003;Medieproduksjon;SkriftligEksamen;-;15;0
2017/18;MED2001;Mediekommunikasjon;SkriftligEksamen;-;13;0
2017/18;MED2002;Mediedesign og medieuttrykk;SkriftligEksamen;-;13;0
2017/18;MED2003;Medieproduksjon;SkriftligEksamen;-;13;0
2017/18;MED2004;Tverrfaglig eksamen medier og kommunikasjon;SkriftligEksamen;-;14;0
2017/18;MED3001;Medier og kommunikasjon;SkriftligEksamen;3,23;93;0
2017/18;MED3002;Bilde;SkriftligEksamen;3,00;36;0
2017/18;MED3004;Tekst;SkriftligEksamen;3,50;9;0
2017/18;MEL3001;Elenergisystemer;SkriftligEksamen;-;16;0
2017/18;MEL3002;Tele-, data- og sikkerhetssystemer;SkriftligEksamen;2,33;16;0
2017/18;MEL3003;Automatiserte systemer;SkriftligEksamen;2,92;16;0
2017/18;MEL3004;Organisasjon og ledelse;SkriftligEksamen;2,00;16;0
2017/18;MEL3005;Tverrfaglig eksamen;SkriftligEksamen;2,83;15;15
2017/18;MFG2001;Råvarer, produksjon og kvalitet;SkriftligEksamen;-;9;0
2017/18;MFG2002;Salg og marked;SkriftligEksamen;-;9;0
2017/18;MFG2003;Bransje, fag og miljø;SkriftligEksamen;-;9;0
2017/18;MFG2004;Tverrfaglig eksamen matfag;SkriftligEksamen;-;9;0
2017/18;MGR3001;Mediegrafikerfaget;SkriftligEksamen;-;1;0
2017/18;MOK2001;Mediesamfunnet 1;SkriftligEksamen;3,86;109;0
2017/18;MOK2002;Mediesamfunnet 2;SkriftligEksamen;3,00;94;0
2017/18;MOK2005;Medieuttrykk 1;SkriftligEksamen;3,57;109;0
2017/18;MOK2006;Medieuttrykk 2;SkriftligEksamen;1,83;94;0
2017/18;MOK3002;Bilde;SkriftligEksamen;3,17;53;0
2017/18;MOK3003;Lyddesign;SkriftligEksamen;2,50;10;0
2017/18;MOK3004;Grafisk design;SkriftligEksamen;2,00;51;0
2017/18;MOK3005;Medieutvikling;SkriftligEksamen;-;12;0
2017/18;MUS2001;Ergonomi og bevegelse 1;SkriftligEksamen;4,14;89;0
2017/18;MUS2002;Ergonomi og bevegelse 2;SkriftligEksamen;3,27;75;0
2017/18;MUS2003;Instrument, kor, samspill 1;SkriftligEksamen;4,00;88;0
2017/18;MUS2004;Instrument, kor, samspill 2;SkriftligEksamen;3,63;76;0
2017/18;MUS2005;Musikk i perspektiv 1;SkriftligEksamen;4,50;88;36
2017/18;MUS2007;Musikk i perspektiv 2;SkriftligEksamen;3,83;76;33
2017/18;MUS2009;Instruksjon og ledelse;SkriftligEksamen;4,10;76;0
2017/18;MUS3001;Musikk fordypning 1;SkriftligEksamen;4,36;87;9
2017/18;MUS3003;Musikk fordypning 2;SkriftligEksamen;3,79;38;25
2017/18;NAB1001;Naturbasert produksjon;SkriftligEksamen;-;38;0
2017/18;NAB1002;Naturbasert aktivitet;SkriftligEksamen;-;39;0
2017/18;NAB3001;Naturforvaltning;SkriftligEksamen;-;9;0
2017/18;NAT1001;Naturfag, vg1 yrkesfaglig utdanningsprogram;SkriftligEksamen;2,85;1 253;1
2017/18;NAT1002;Naturfag, vg1 studieforberedende utdanningsprogram;SkriftligEksamen;3,21;1 712;0
2017/18;NAT1003;Naturfag, vg3 påbygging til generell studiekompetanse;SkriftligEksamen;2,79;524;0
2017/18;NOR1027;Norsk tegnspråk, vg1 yrkesfaglige utdanningsprogram;SkriftligEksamen;-;1;0
2017/18;NOR1028;Norsk tegnspråk, vg2 yrkesfaglige utdanningsprogram;SkriftligEksamen;-;1;0
2017/18;NOR1151;Grunnleggende norsk for språklige minoriteter, nivå 1, vg1 yrkesfaglige utdanningsprogram;SkriftligEksamen;2,75;21;0
2017/18;NOR1155;Grunnleggende norsk for språklige minoriteter, nivå 2, vg1 yrkesfaglige utdanningsprogram;SkriftligEksamen;-;3;0
2017/18;NOR1159;Grunnleggende norsk for språklige minoriteter, nivå 3, vg1 yrkesfaglige utdanningsprogram;SkriftligEksamen;-;3;0
2017/18;NOR1201;Norsk hovedmål, vg1 studieforberedende utdanningsprogram, skriftlig;SkriftligEksamen;3,24;1 728;0
