Arealformålsgruppe,ArealdekkekodeEnkel_navn,Dekar
12 Blå/grønnstruktur,Bebygd,889
12 Blå/grønnstruktur,Ferskvann,54
12 Blå/grønnstruktur,Fulldyrka jord,289
12 Blå/grønnstruktur,Hav,17
12 Blå/grønnstruktur,Innmarksbeite,26
12 Blå/grønnstruktur,Myr,127
12 Blå/grønnstruktur,Overflatedyrka jord,134
12 Blå/grønnstruktur,Samferdsel,216
12 Blå/grønnstruktur,Skog,4606
12 Blå/grønnstruktur,Åpen fastmark,974
14 LNFR,Bebygd,3514
14 LNFR,Ferskvann,24
14 LNFR,Fulldyrka jord,97529
14 LNFR,Hav,2
14 LNFR,Innmarksbeite,668
14 LNFR,Myr,3582
14 LNFR,Overflatedyrka jord,2467
14 LNFR,Samferdsel,6004
14 LNFR,Skog,235094
14 LNFR,Åpen fastmark,6827
15 LNFR spredt,Bebygd,6283
15 LNFR spredt,Ferskvann,3
15 LNFR spredt,Fulldyrka jord,141
15 LNFR spredt,Hav,0
15 LNFR spredt,Innmarksbeite,3
15 LNFR spredt,Myr,1
15 LNFR spredt,Overflatedyrka jord,22
15 LNFR spredt,Samferdsel,522
15 LNFR spredt,Skog,545
15 LNFR spredt,Åpen fastmark,127
16 Havner og småbåthavner,Bebygd,41
16 Havner og småbåthavner,Hav,611
16 Havner og småbåthavner,Samferdsel,7
16 Havner og småbåthavner,Skog,2
16 Havner og småbåthavner,Åpen fastmark,1
"17 Sjø og vassdrag, flerbruk",Bebygd,2
"17 Sjø og vassdrag, flerbruk",Ferskvann,8545
"17 Sjø og vassdrag, flerbruk",Fulldyrka jord,0
"17 Sjø og vassdrag, flerbruk",Hav,96544
"17 Sjø og vassdrag, flerbruk",Myr,1
"17 Sjø og vassdrag, flerbruk",Overflatedyrka jord,0
"17 Sjø og vassdrag, flerbruk",Samferdsel,0
"17 Sjø og vassdrag, flerbruk",Skog,3
"17 Sjø og vassdrag, flerbruk",Åpen fastmark,2
18 Akvakultur,Ferskvann,0
18 Akvakultur,Fulldyrka jord,1
18 Akvakultur,Skog,1
19 Udefinert,Bebygd,3
19 Udefinert,Ferskvann,0
19 Udefinert,Fulldyrka jord,7
19 Udefinert,Hav,5
19 Udefinert,Innmarksbeite,1
19 Udefinert,Samferdsel,1
19 Udefinert,Skog,11
19 Udefinert,Åpen fastmark,0
