Arealformålsgruppe,ArealdekkekodeEnkel_navn,Dekar
09 Idrettsanlegg,Samferdsel,36
09 Idrettsanlegg,Skog,567
09 Idrettsanlegg,Åpen fastmark,1061
10 Andre formål,Bebygd,332
10 Andre formål,Ferskvann,2
10 Andre formål,Fulldyrka jord,26
10 Andre formål,Hav,4
10 Andre formål,Innmarksbeite,1
10 Andre formål,Myr,1
10 Andre formål,Overflatedyrka jord,0
10 Andre formål,Samferdsel,34
10 Andre formål,Skog,379
10 Andre formål,Åpen fastmark,93
11 Samferdselsanlegg,Bebygd,452
11 Samferdselsanlegg,Ferskvann,3
11 Samferdselsanlegg,Fulldyrka jord,196
11 Samferdselsanlegg,Hav,9
11 Samferdselsanlegg,Innmarksbeite,1
11 Samferdselsanlegg,Myr,2
11 Samferdselsanlegg,Overflatedyrka jord,20
11 Samferdselsanlegg,Samferdsel,3668
11 Samferdselsanlegg,Skog,564
11 Samferdselsanlegg,Åpen fastmark,843
12 Blå/grønnstruktur,Bebygd,404
12 Blå/grønnstruktur,Ferskvann,28
12 Blå/grønnstruktur,Fulldyrka jord,62
12 Blå/grønnstruktur,Hav,14
12 Blå/grønnstruktur,Innmarksbeite,2
12 Blå/grønnstruktur,Overflatedyrka jord,12
12 Blå/grønnstruktur,Samferdsel,80
12 Blå/grønnstruktur,Skog,1907
12 Blå/grønnstruktur,Åpen fastmark,253
14 LNFR,Bebygd,6216
14 LNFR,Ferskvann,90
14 LNFR,Fulldyrka jord,59413
14 LNFR,Hav,1
14 LNFR,Innmarksbeite,279
14 LNFR,Myr,5584
14 LNFR,Overflatedyrka jord,2583
14 LNFR,Samferdsel,4846
14 LNFR,Skog,291341
14 LNFR,Åpen fastmark,3375
15 LNFR spredt,Bebygd,507
15 LNFR spredt,Ferskvann,23
15 LNFR spredt,Fulldyrka jord,3164
15 LNFR spredt,Hav,0
15 LNFR spredt,Innmarksbeite,20
15 LNFR spredt,Myr,13
15 LNFR spredt,Overflatedyrka jord,134
15 LNFR spredt,Samferdsel,275
15 LNFR spredt,Skog,3954
15 LNFR spredt,Åpen fastmark,134
16 Havner og småbåthavner,Bebygd,25
16 Havner og småbåthavner,Ferskvann,20
16 Havner og småbåthavner,Hav,650
16 Havner og småbåthavner,Samferdsel,7
16 Havner og småbåthavner,Skog,1
16 Havner og småbåthavner,Åpen fastmark,8
"17 Sjø og vassdrag, flerbruk",Bebygd,25
"17 Sjø og vassdrag, flerbruk",Ferskvann,22060
"17 Sjø og vassdrag, flerbruk",Fulldyrka jord,0
"17 Sjø og vassdrag, flerbruk",Hav,54287
"17 Sjø og vassdrag, flerbruk",Innmarksbeite,0
"17 Sjø og vassdrag, flerbruk",Myr,6
"17 Sjø og vassdrag, flerbruk",Samferdsel,1
"17 Sjø og vassdrag, flerbruk",Skog,58
"17 Sjø og vassdrag, flerbruk",Åpen fastmark,18
18 Akvakultur,Ferskvann,3
18 Akvakultur,Fulldyrka jord,0
18 Akvakultur,Skog,2
19 Udefinert,Bebygd,12
19 Udefinert,Ferskvann,4
19 Udefinert,Fulldyrka jord,131
19 Udefinert,Overflatedyrka jord,1
19 Udefinert,Samferdsel,6
19 Udefinert,Skog,79
19 Udefinert,Åpen fastmark,15
