Arealformålsgruppe,Dekar,ØkosystemtypeNivå1_text
19 Udefinert,91,Bebyggelse/samferdsel
19 Udefinert,805,Dyrket mark
19 Udefinert,8,Grasmark
19 Udefinert,400,Skog
19 Udefinert,85,Hei og åpen vegetasjon
19 Udefinert,1,Lite vegetert mark
19 Udefinert,6,Elver/bekker
19 Udefinert,3,Innsjøer/tjern
19 Udefinert,3,"Svaberg, kyststrender og dyner"
19 Udefinert,61,Åpent hav
