Arealformålsgruppe,Dekar,ØkosystemtypeNivå1_text
09 Idrettsanlegg,1,Elver/bekker
09 Idrettsanlegg,46,Innsjøer/tjern
09 Idrettsanlegg,0,Åpent hav
10 Andre formål,279,Bebyggelse/samferdsel
10 Andre formål,7,Dyrket mark
10 Andre formål,1,Grasmark
10 Andre formål,94,Skog
10 Andre formål,26,Hei og åpen vegetasjon
10 Andre formål,0,Lite vegetert mark
10 Andre formål,1,Våtmark
10 Andre formål,0,Elver/bekker
10 Andre formål,0,Innsjøer/tjern
10 Andre formål,0,"Svaberg, kyststrender og dyner"
10 Andre formål,13,Åpent hav
11 Samferdselsanlegg,2250,Bebyggelse/samferdsel
11 Samferdselsanlegg,91,Dyrket mark
11 Samferdselsanlegg,2,Grasmark
11 Samferdselsanlegg,194,Skog
11 Samferdselsanlegg,65,Hei og åpen vegetasjon
11 Samferdselsanlegg,6,Lite vegetert mark
11 Samferdselsanlegg,1,Elver/bekker
11 Samferdselsanlegg,0,Innsjøer/tjern
11 Samferdselsanlegg,0,"Svaberg, kyststrender og dyner"
11 Samferdselsanlegg,1,Åpent hav
12 Blå/grønnstruktur,692,Bebyggelse/samferdsel
12 Blå/grønnstruktur,68,Dyrket mark
12 Blå/grønnstruktur,36,Grasmark
12 Blå/grønnstruktur,5364,Skog
12 Blå/grønnstruktur,730,Hei og åpen vegetasjon
12 Blå/grønnstruktur,263,Lite vegetert mark
12 Blå/grønnstruktur,0,Våtmark
12 Blå/grønnstruktur,3,Elver/bekker
12 Blå/grønnstruktur,30,Innsjøer/tjern
12 Blå/grønnstruktur,1136,"Svaberg, kyststrender og dyner"
12 Blå/grønnstruktur,56,Åpent hav
13 Forsvaret,15,Bebyggelse/samferdsel
13 Forsvaret,84,Skog
13 Forsvaret,2,Lite vegetert mark
13 Forsvaret,0,Innsjøer/tjern
13 Forsvaret,34,"Svaberg, kyststrender og dyner"
14 LNFR,5809,Bebyggelse/samferdsel
14 LNFR,12257,Dyrket mark
14 LNFR,247,Grasmark
14 LNFR,36176,Skog
14 LNFR,2565,Hei og åpen vegetasjon
14 LNFR,1108,Lite vegetert mark
14 LNFR,1,Våtmark
14 LNFR,17,Elver/bekker
14 LNFR,15,Innsjøer/tjern
14 LNFR,10545,"Svaberg, kyststrender og dyner"
14 LNFR,8,Åpent hav
15 LNFR spredt,94,Bebyggelse/samferdsel
15 LNFR spredt,3,Dyrket mark
15 LNFR spredt,85,Skog
15 LNFR spredt,14,Hei og åpen vegetasjon
15 LNFR spredt,1,Lite vegetert mark
15 LNFR spredt,1,"Svaberg, kyststrender og dyner"
16 Havner og småbåthavner,104,Bebyggelse/samferdsel
16 Havner og småbåthavner,0,Dyrket mark
16 Havner og småbåthavner,8,Skog
16 Havner og småbåthavner,22,Hei og åpen vegetasjon
16 Havner og småbåthavner,0,Lite vegetert mark
16 Havner og småbåthavner,3,"Svaberg, kyststrender og dyner"
16 Havner og småbåthavner,722,Åpent hav
"17 Sjø og vassdrag, flerbruk",6,Bebyggelse/samferdsel
"17 Sjø og vassdrag, flerbruk",4,Skog
"17 Sjø og vassdrag, flerbruk",19,Hei og åpen vegetasjon
"17 Sjø og vassdrag, flerbruk",47,Elver/bekker
"17 Sjø og vassdrag, flerbruk",223,Innsjøer/tjern
"17 Sjø og vassdrag, flerbruk",5,"Svaberg, kyststrender og dyner"
"17 Sjø og vassdrag, flerbruk",468636,Åpent hav
18 Akvakultur,6,Bebyggelse/samferdsel
18 Akvakultur,0,Skog
18 Akvakultur,0,Hei og åpen vegetasjon
18 Akvakultur,0,Lite vegetert mark
18 Akvakultur,1,"Svaberg, kyststrender og dyner"
18 Akvakultur,2,Åpent hav
19 Udefinert,15,Bebyggelse/samferdsel
19 Udefinert,55,Dyrket mark
19 Udefinert,1,Grasmark
19 Udefinert,61,Skog
19 Udefinert,18,Hei og åpen vegetasjon
19 Udefinert,1,Lite vegetert mark
19 Udefinert,0,Elver/bekker
19 Udefinert,0,Innsjøer/tjern
19 Udefinert,3,"Svaberg, kyststrender og dyner"
19 Udefinert,52,Åpent hav
