Arealformålsgruppe,Dekar,ØkosystemtypeNivå1_text
09 Idrettsanlegg,2,"Svaberg, kyststrender og dyner"
09 Idrettsanlegg,1,Åpent hav
10 Andre formål,882,Bebyggelse/samferdsel
10 Andre formål,25,Dyrket mark
10 Andre formål,6,Grasmark
10 Andre formål,211,Skog
10 Andre formål,47,Hei og åpen vegetasjon
10 Andre formål,2,Lite vegetert mark
10 Andre formål,1,Elver/bekker
10 Andre formål,11,Innsjøer/tjern
10 Andre formål,2,"Svaberg, kyststrender og dyner"
10 Andre formål,0,Åpent hav
11 Samferdselsanlegg,8089,Bebyggelse/samferdsel
11 Samferdselsanlegg,168,Dyrket mark
11 Samferdselsanlegg,8,Grasmark
11 Samferdselsanlegg,1401,Skog
11 Samferdselsanlegg,946,Hei og åpen vegetasjon
11 Samferdselsanlegg,79,Lite vegetert mark
11 Samferdselsanlegg,2,Våtmark
11 Samferdselsanlegg,5,Elver/bekker
11 Samferdselsanlegg,2,Innsjøer/tjern
11 Samferdselsanlegg,3,"Svaberg, kyststrender og dyner"
11 Samferdselsanlegg,7,Åpent hav
12 Blå/grønnstruktur,2818,Bebyggelse/samferdsel
12 Blå/grønnstruktur,1541,Dyrket mark
12 Blå/grønnstruktur,169,Grasmark
12 Blå/grønnstruktur,27736,Skog
12 Blå/grønnstruktur,2002,Hei og åpen vegetasjon
12 Blå/grønnstruktur,607,Lite vegetert mark
12 Blå/grønnstruktur,304,Våtmark
12 Blå/grønnstruktur,56,Elver/bekker
12 Blå/grønnstruktur,78,Innsjøer/tjern
12 Blå/grønnstruktur,4090,"Svaberg, kyststrender og dyner"
12 Blå/grønnstruktur,167,Åpent hav
13 Forsvaret,0,Bebyggelse/samferdsel
14 LNFR,19308,Bebyggelse/samferdsel
14 LNFR,94370,Dyrket mark
14 LNFR,2306,Grasmark
14 LNFR,545571,Skog
14 LNFR,5939,Hei og åpen vegetasjon
14 LNFR,1116,Lite vegetert mark
14 LNFR,5446,Våtmark
14 LNFR,66,Elver/bekker
14 LNFR,7,Innsjøer/tjern
14 LNFR,2258,"Svaberg, kyststrender og dyner"
14 LNFR,6,Åpent hav
15 LNFR spredt,9,Bebyggelse/samferdsel
15 LNFR spredt,1,Dyrket mark
15 LNFR spredt,3,Skog
15 LNFR spredt,0,Hei og åpen vegetasjon
16 Havner og småbåthavner,344,Bebyggelse/samferdsel
16 Havner og småbåthavner,28,Skog
16 Havner og småbåthavner,23,Hei og åpen vegetasjon
16 Havner og småbåthavner,0,Lite vegetert mark
16 Havner og småbåthavner,1,Våtmark
16 Havner og småbåthavner,29,Elver/bekker
16 Havner og småbåthavner,13,Innsjøer/tjern
16 Havner og småbåthavner,14,"Svaberg, kyststrender og dyner"
16 Havner og småbåthavner,509,Åpent hav
"17 Sjø og vassdrag, flerbruk",31,Bebyggelse/samferdsel
"17 Sjø og vassdrag, flerbruk",0,Dyrket mark
"17 Sjø og vassdrag, flerbruk",3,Grasmark
"17 Sjø og vassdrag, flerbruk",48,Skog
"17 Sjø og vassdrag, flerbruk",62,Hei og åpen vegetasjon
"17 Sjø og vassdrag, flerbruk",6,Lite vegetert mark
"17 Sjø og vassdrag, flerbruk",7,Våtmark
"17 Sjø og vassdrag, flerbruk",9337,Elver/bekker
"17 Sjø og vassdrag, flerbruk",34302,Innsjøer/tjern
"17 Sjø og vassdrag, flerbruk",113,"Svaberg, kyststrender og dyner"
"17 Sjø og vassdrag, flerbruk",244652,Åpent hav
18 Akvakultur,107,Åpent hav
19 Udefinert,11,Bebyggelse/samferdsel
19 Udefinert,0,Dyrket mark
19 Udefinert,96,Skog
19 Udefinert,0,Hei og åpen vegetasjon
19 Udefinert,4,Elver/bekker
19 Udefinert,0,Åpent hav
